#TUCAN Gradiometer B-field Measurements
#
#Scan freq: 5000 Hz
#Sample freq: 8.33 Hz
#Range of Fluxgate: 500 μ T
#Fluxgate 1 Serial No. 523
#	 x-offset: 0.5896 ± 0.0015 μ T
#	 y-offset: 0.5861 ± 0.0007 μ T
#	 z-offset: 0.4189 ± 0.0007 μ T
#Date: 2023-01-10 13:47:09.065110
#Start Time: 2023-01-10 13:44:03.010861
#End Time: 2023-01-10 13:46:59.452913
#Experimenters: Emma
#Comments: Square wave coil on, F=0.1Hz, Vpp= 5V, duty=50%, 21,5 ohm resistor in series, FG might have offset?
# 
Time,Bx (μ T),By (μ T),Bz (μ T)
2023-01-10 13:44:27.907416,20.034416749659613,-17.196569997404936,30.104555766382873
2023-01-10 13:44:28.293112,20.028492023230683,-17.201545971848304,30.105661715316273
2023-01-10 13:44:28.680985,20.032678829907127,-17.195306257863763,30.213017758208483
2023-01-10 13:44:29.068030,20.039788501621842,-17.194911339257146,30.81386401445434
2023-01-10 13:44:29.473043,20.041605417726714,-17.19096215319098,30.808334269787334
2023-01-10 13:44:29.874425,20.037576603755042,-17.192541827617447,30.809756204130277
2023-01-10 13:44:30.278776,20.037734596459813,-17.19925544392993,30.81173111293992
2023-01-10 13:44:30.678123,20.036628647526413,-17.195859143913026,30.813706021749564
2023-01-10 13:44:31.082097,20.040657461498085,-17.190567234584364,30.80580638651099
2023-01-10 13:44:31.485903,20.036391658469256,-17.19262081133877,30.81070416035891
2023-01-10 13:44:31.890263,20.0416844140791,-17.194595404371853,30.81346903269241
2023-01-10 13:44:32.292462,20.045634231698386,-17.200835118356395,30.807070328149166
2023-01-10 13:44:32.689354,20.04018348338377,-17.198860525323312,30.812521076463785
2023-01-10 13:44:33.115363,20.035443702240627,-17.194832355535823,30.808176277082566
2023-01-10 13:44:33.535925,20.039314523507528,-17.19854459043802,30.810230182244595
2023-01-10 13:44:33.948862,20.036233665764485,-17.192304876453477,30.546066379866716
2023-01-10 13:44:34.362957,20.027386074297283,-17.191357071797597,30.103923795563787
2023-01-10 13:44:34.772855,20.02857101958307,-17.19546422530641,30.108663576706928
2023-01-10 13:44:35.186999,20.027386074297283,-17.190093332256424,30.102817846630387
2023-01-10 13:44:35.596070,20.022883282211296,-17.19546422530641,30.103765802859016
2023-01-10 13:44:36.009385,20.032520837202355,-17.198623574159342,30.101869890401755
2023-01-10 13:44:36.418684,20.02651711442104,-17.196569997404936,30.103370821097087
2023-01-10 13:44:36.832359,20.02888700499261,-17.197912720667432,30.10147490863983
2023-01-10 13:44:37.239554,20.025095180078097,-17.19901849276596,30.100210967001654
2023-01-10 13:44:37.659638,20.025490161840025,-17.202098857897568,30.106609671544902
2023-01-10 13:44:38.072424,20.026991092535354,-17.197280850896846,30.10479275544003
2023-01-10 13:44:38.488574,20.024700198316168,-17.202098857897568,30.101948886754144
2023-01-10 13:44:38.912705,20.03094091015464,-17.202572760225507,30.213491736322794
2023-01-10 13:44:39.379394,20.043580326536357,-17.206048043963733,30.812521076463785
2023-01-10 13:44:39.803424,20.052190928946402,-17.206600930012996,30.809756204130277
2023-01-10 13:44:40.230431,20.04318534477443,-17.204626336979914,30.80849226249211
2023-01-10 13:44:40.655347,20.043027352069657,-17.202256825340214,30.81283706187332
