#TUCAN Gradiometer B-field Measurements
#
#Scan freq: 5000 Hz
#Sample freq: 8.33 Hz
#Range of Fluxgate: 500 μ T
#Fluxgate 1 Serial No. 523
#	 x-offset: 0.5896 ± 0.0015 μ T
#	 y-offset: 0.5861 ± 0.0007 μ T
#	 z-offset: 0.4189 ± 0.0007 μ T
#Fluxgate 2 Serial No. 2122
#	 x-offset: 0.4813 ± 0.0175 μ T
#	 y-offset: 0.5278 ± 0.0009 μ T
#Date: 2023-01-10 16:20:18.593908
#Start Time: 2023-01-10 16:16:56.142689
#End Time: 2023-01-10 16:17:42.036156
#Experimenters: Emma
#Comments: SquareCoil, 1mHz, 5V, 21.5 ohm resistor in series, FG might have offset?
# 
Time,Bx (μ T),By (μ T),Bz (μ T),Bx-2 (μ T),By-2 (μ T)
2023-01-10 16:17:18.492905,20.143510712304305,-17.35430048888759,29.551581299682766,17.076735056528015,28.42689936876868
2023-01-10 16:17:18.939083,20.144221679475777,-17.351299107477303,29.55782201152124,17.07730383026519,28.433629857991946
2023-01-10 16:17:19.435226,20.144458668532934,-17.352246912133182,29.56706458475037,17.043193205305034,28.413454189592628
2023-01-10 16:17:19.903243,20.13695401505629,-17.350114351657453,29.565721646759812,16.964639232492665,28.35107866974886
2023-01-10 16:17:20.373428,20.142088777961362,-17.34600719814864,29.563667741597783,16.97402399915609,28.36412886716298
2023-01-10 16:17:20.837033,20.14548562111395,-17.353431667953032,29.567933544626612,17.086214618814303,28.371522925746287
2023-01-10 16:17:21.308037,20.148566478856992,-17.35627508192067,29.557664018816464,17.029953416645185,28.30911580736156
2023-01-10 16:17:21.775717,20.14659157004735,-17.34813975862437,29.560823872911897,17.097242509607348,28.30124777066394
2023-01-10 16:17:22.238461,20.140429854561262,-17.34695500280452,29.666994970518317,17.219102282797575,28.435178186498703
2023-01-10 16:17:22.729622,20.142562756075677,-17.334633542278084,30.245801244448558,17.36579850917788,28.986272540012035
2023-01-10 16:17:23.215684,20.093979999358453,-17.268998069858412,30.21562463783721,17.244302119208623,28.916850545535453
2023-01-10 16:17:23.689703,20.058747626194418,-17.259835958184908,30.189555841549918,17.066181143849278,28.60039115787822
